"SubjectID","played_game","condition","cond","avatar_id_embodied_presence1","avatar_id_embodied_presence2","avatar_id_embodied_presence3","avatar_id_embodied_presence4","avatar_id_embodied_presence5","avatar_id_embodied_presence6","avatar_id_wishful_id1","avatar_id_wishful_id2","avatar_id_wishful_id3","avatar_id_wishful_id4","avatar_id_wishful_id5","avatar_id_char_empathy1","avatar_id_char_empathy2","avatar_id_char_empathy3","avatar_id_char_empathy4","MRNI1_aggr","MRNI2_no_rel_sex","MRNI3_self_rel","MRNI4_dominance","MRNI5_aggr","MRNI6_aggr","MRNI7_dominance","MRNI8_dominance","MRNI9_restremotionality","MRNI10_no_rel_sex","MRNI11_no_rel_sex","MRNI12_self_rel","MRNI13_self_rel","MRNI14_restremotionality","MRNI15_restremotionality","Empathy_comprensione","Empathy_commozione","Empathy_compassione","Empathy_premura","Empathy_affettuosita","Empathy_serenita","Empathy_indifferenza","Empathy_disinteresse","Empathy_serenita_R","Empathy_serenitaR","Empathy_indifferenzaR","Empathy_disinteresseR","game_rating_involvement2_eccitante","game_rating_involvement3_coinvolgente","Game_name_man_check","immorale","man_check_pers_femminili","man_check_pers_femm_volgari","man_check_ruolo_pers_femm","man_check_donne_oggetto","avatar_id_embodied_presence","avatar_id_wishful_id","avatar_id_char_empathy","avatar_id","full_MRNI","machismoMRNIwithoutSELFRELIANCE","machismoDOMINANCE","machismoSELFRELIANCE","machismoAGGRESSIVITY","machismoNORELATIONALSEX","machismoRESTRICTIVEEMOTIONALITY","avatarID","mas_beli","age","gender","violent","emp_scal","cond101","contrast","gend_con","avatad_IDcent","avatad_IDcentxgendercod","avatad_IDcentxgendercodxcond101","avatad_IDcentxcond101","gender_codxcond101"
1,"PINBALL","neutro",1,6,2,3,2,3,4,1,1,1,1,1,1,1,1,1,5,1,4,1,2,1,1,1,2,1,3,5,3,2,2,5,3,4,4,4,1,1,1,7,7,7,7,4,5,NA,1,NA,NA,NA,NA,3.33333333333333,1,1,1.93333333333333,2.26666666666667,1.83333333333333,1,4,2.66666666666667,1.66666666666667,2,3.33333333333333,1.83333333333333,17,2,1,5.28571428571429,-1,-1,0,-0.938666666666667,0,0,0.938666666666667,0
2,"PINBALL","neutro",1,2,2,2,3,1,1,1,2,1,1,2,5,3,4,5,4,1,5,1,4,2,1,1,1,1,2,7,6,2,1,3,4,6,6,4,2,1,1,6,6,7,7,1,5,NA,2,NA,3,3,4,1.83333333333333,1.4,4.25,2.33333333333333,2.6,1.75,1,6,3.33333333333333,1.33333333333333,1.33333333333333,1.83333333333333,1.75,17,2,1,5.57142857142857,-1,-1,0,-2.43866666666667,0,0,2.43866666666667,0
3,"PINBALL","neutro",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,3,2,3,2,3,2,1,1,1,3,2,2,2,4,3,5,3,2,2,2,2,6,6,6,6,4,2,NA,1,NA,NA,NA,NA,1,1,1,1,2.2,2.08333333333333,2.33333333333333,2.66666666666667,3,1.33333333333333,1.66666666666667,1,2.08333333333333,18,1,1,4.71428571428571,-1,-1,1,-3.272,-3.272,3.272,3.272,-1
4,"PINBALL","neutro",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,7,1,6,3,1,1,1,2,4,6,2,2,2,7,6,2,5,6,3,1,1,5,5,7,7,1,1,NA,1,NA,NA,NA,NA,1,1,1,1,2.93333333333333,2.41666666666667,1,5,4.33333333333333,2.66666666666667,1.66666666666667,1,2.41666666666667,17,2,1,5.57142857142857,-1,-1,0,-3.272,0,0,3.272,0
5,"PINBALL","neutro",1,2,1,5,4,3,5,1,1,1,1,5,5,2,2,5,4,2,4,1,5,2,1,1,2,2,5,4,3,2,2,3,2,1,2,2,1,5,4,7,7,3,4,2,4,NA,1,NA,NA,NA,NA,3.33333333333333,1.8,3.5,2.86666666666667,2.66666666666667,2.41666666666667,1,3.66666666666667,3.66666666666667,3,2,3.33333333333333,2.41666666666667,17,2,2,3.14285714285714,-1,-1,0,-0.938666666666667,0,0,0.938666666666667,0
6,"PINBALL","neutro",1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,2,6,3,6,2,3,4,1,1,1,2,7,4,2,2,3,1,4,7,6,4,1,1,1,7,7,7,7,1,2,NA,1,NA,2,1,1,1,1,2,1.26666666666667,3.13333333333333,2.91666666666667,1.33333333333333,4,4.33333333333333,4,2,1,2.91666666666667,17,2,1,5.57142857142857,-1,-1,0,-3.272,0,0,3.272,0
7,"PINBALL","neutro",1,6,6,6,6,4,4,1,1,1,1,1,6,4,1,1,1,1,6,2,1,5,1,1,1,4,7,6,6,7,5,3,1,3,1,1,1,5,5,7,7,3,3,1,2,NA,1,NA,1,1,1,5.33333333333333,1,3,3.26666666666667,3.6,3,1.33333333333333,6,2.33333333333333,4,4.33333333333333,5.33333333333333,3,18,1,1,3,-1,-1,1,1.06133333333333,1.06133333333333,-1.06133333333333,-1.06133333333333,-1
8,"PINBALL","neutro",1,4,2,1,5,2,2,2,4,2,1,5,6,5,5,6,2,3,2,1,1,1,1,2,4,2,4,4,3,1,2,1,5,6,4,1,1,1,1,7,7,7,7,4,3,NA,1,NA,NA,NA,NA,2.66666666666667,2.8,5.5,3.46666666666667,2.2,2,1.33333333333333,3,1.33333333333333,3,2.33333333333333,2.66666666666667,2,17,2,1,5.28571428571429,-1,-1,0,-1.60533333333333,0,0,1.60533333333333,0
9,"PINBALL","neutro",1,6,6,6,6,5,5,7,5,5,5,6,5,6,6,6,4,3,5,2,3,3,1,1,2,2,4,3,3,3,2,6,3,5,4,3,2,4,1,6,6,4,7,4,6,NA,1,NA,NA,NA,NA,5.66666666666667,5.6,5.75,5.66666666666667,2.73333333333333,2.5,1.33333333333333,3.66666666666667,3.33333333333333,3,2.33333333333333,5.66666666666667,2.5,18,2,1,5,-1,-1,0,1.39466666666667,0,0,-1.39466666666667,0
10,"PINBALL","neutro",1,3,3,3,3,4,4,2,2,2,2,3,3,2,1,3,2,1,6,2,6,2,2,2,1,1,7,4,5,1,1,2,2,2,2,2,1,2,2,7,7,6,6,4,7,NA,6,NA,2,6,6,3.33333333333333,2.2,2.25,2.66666666666667,2.86666666666667,2.33333333333333,2,5,3.33333333333333,3,1,3.33333333333333,2.33333333333333,17,2,1,3.85714285714286,-1,-1,0,-0.938666666666667,0,0,0.938666666666667,0
